"Years","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"        Indiana (%)",,,,,,,,,,,,"0.096","0.09","0.102","0.107","0.101","0.101","0.1","0.1","0.098"
"        Illinois (%)",,,,,,,,,,,,"0.081","0.085","0.075","0.091","0.084","0.088","0.082","0.087","0.082"
"        Idaho (%)",,,,,,,,,,,,"0.092","0.084","0.087","0.087","0.09","0.092","0.09","0.087","0.1"
"        Iowa (%)",,,,,,,,,,,,"0.085","0.08","0.078","0.085","0.076","0.078","0.093","0.079","0.08"
"        Hawaii (%)",,,,,,,,,,,,"0.095","0.09","0.095","0.093","0.101","0.107","0.098","0.093","0.096"
"        Georgia (%)",,,,,,,,,,,,"0.096","0.081","0.083","0.082","0.091","0.085","0.084","0.089","0.077"
"        Florida (%)",,,,,,,,,,,,"0.076","0.081","0.082","0.08","0.075","0.067","0.075","0.087","0.074"
"        Delaware (%)",,,,,,,,,,,,"0.1","0.1","0.107","0.087","0.09","0.087","0.106","0.1009999999","0.098"
"        District of Columbia (%)",,,,,,,,,,,,"0.1","0.101","0.119","0.113","0.106","0.101","0.094","0.1159999999","0.114"
"        Connecticut (%)",,,,,,,,,,,,"0.101","0.101","0.1","0.093","0.107","0.106","0.107","0.103","0.105"
"        Colorado (%)",,,,,,,,,,,,"0.083","0.089","0.087","0.083","0.091","0.088","0.093","0.091","0.097"
"        California (%)",,,,,,,,,,,,"0.084","0.088","0.087","0.077","0.076","0.077","0.079","0.085","0.078"
"        Arizona (%)",,,,,,,,,,,,"0.096","0.087","0.089","0.097","0.093","0.093","0.098","0.1","0.097"
"        Arkansas (%)",,,,,,,,,,,,"0.095","0.087","0.082","0.087","0.1","0.085","0.096","0.098","0.093"
"        Alabama (%)",,,,,,,,,,,,"0.08","0.085","0.085","0.095","0.099","0.098",,"0.105","0.095"
"        Alaska (%)",,,,,,,,,,,,"0.085","0.091","0.094","0.082","0.093","0.09","0.085","0.092","0.099"
"        Wyoming (%)",,,,,,,,,,,,"0.091","0.09","0.091","0.082","0.077","0.096","0.091","0.087","0.096"
"        West Virginia (%)",,,,,,,,,,,,"0.091","0.103","0.09","0.11","0.108","0.118","0.127","0.123","0.115"
"        Wisconsin (%)",,,,,,,,,,,,"0.093","0.086","0.106","0.103","0.098","0.084","0.095","0.09","0.102"
"        Washington (%)",,,,,,,,,,,,"0.097","0.097","0.098","0.092","0.093","0.096","0.105","0.096","0.099"
"        Vermont (%)",,,,,,,,,,,,"0.114","0.112","0.116","0.115","0.113","0.104","0.118","0.12","0.117"
"        Virginia (%)",,,,,,,,,,,,"0.087","0.086","0.086","0.086","0.079","0.085","0.089","0.085","0.088"
"        Utah (%)",,,,,,,,,,,,"0.087","0.089","0.09","0.087","0.09","0.082","0.089","0.093","0.099"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Centers for Disease Control and Prevention","Behavioral Risk Factor Surveillance System","","https://www.cdc.gov/brfss/brfssprevalence/","https://nccd.cdc.gov/BRFSSPrevalence/rdPage.aspx?rdReport=DPH_BRFSS.ExploreByLocation&rdProcessAction=&SaveFileGenerated=1&irbLocationType=States&islLocation=99&islClass=CLASS01&islTopic=Topic03&islYear=2015&hidLocationType=&hidLocation=99&hidClass=CLASS01&hidTopic=Topic03&hidTopicName=Alcohol+Consumption&hidYear=2015&irbShowFootnotes=Show&iclIndicators_rdExpandedCollapsedHistory=&iclIndicators=DRNKANY5&hidPreviouslySelectedIndicators=&DashboardColumnCount=2&rdShowElementHistory=&go=GO&rdScrollX=0&rdScrollY=0&rdRnd=35269","2020",""
"Exported on: 12/21/2020"
